gvkey,splticrm,spsdrm,spsticrm,datadate,gsector,conm,tic,cusip
001045,B-,,,2010-01-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-02-28,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-03-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-04-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-05-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-06-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-07-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-08-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-09-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-10-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-11-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2010-12-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-01-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-02-28,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-03-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-04-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-05-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-06-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-07-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-08-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-09-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B-,,,2011-10-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2011-11-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2011-12-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-01-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-02-29,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-03-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-04-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-05-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-06-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-07-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-08-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-09-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-10-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-11-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2012-12-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-01-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-02-28,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-03-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-04-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-05-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-06-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-07-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-08-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-09-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-10-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,,2013-11-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2013-12-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-01-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-02-28,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-03-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-04-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-05-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-06-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-07-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-08-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-09-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,,2014-10-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,,2014-11-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,,2014-12-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,,2015-01-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,,2015-02-28,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,,2015-03-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,,2015-04-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,,2015-05-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,,2015-06-30,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,,2015-07-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,,2015-08-31,20,AMERICAN AIRLINES GROUP INC,AAL,02376R102
